ÇÑ¼Õ°Ë1	1	70	0	0	0	0	100	100	100	100	100	0	0	20032	0
ÇÑ¼Õ°Ë2	2	60	10	10	0	0	100	100	100	100	100	0	0	20092	0
¾ç¼Õ°Ë1	3	100	-10	-10	0	0	100	100	100	100	100	0	0	20081	1
¾ç¼Õ°Ë2	4	90	0	0	0	0	100	100	100	100	100	0	0	20026	1
Åõ±¸1	5	0	20	-20	0	0	100	100	100	100	100	0	8	21419	0
Åõ±¸2	6	0	10	-10	0	0	100	100	100	100	100	0	8	21496	0
°©¿Ê1	7	0	45	-45	0	0	100	100	100	100	100	0	10	21634	0
°©¿Ê2	8	0	30	-35	0	0	100	100	100	100	100	0	10	21608	0
¾Ç±â1	9	0	0	-10	10	0	100	100	100	100	100	0	15	26068	0
¾Ç±â2	10	0	0	10	-10	0	100	100	100	100	100	0	15	26079	0

