1		0	777	99	0	99	0	1	1	10	10			1										1									
2		0	777	99	1	99	1	1	1	10	10			2										1									
3		0	777	99	2	99	2	1	1	10	10			3										1									
9		0	777	99	3	99	3	1	1	10	10			0										1									
10		0	777	99	4	99	4	1	1	10	10			10										1									
11		0	777	99	5	99	5	1	1	10	10			11										1									
12		0	777	99	6	99	6	1	1	10	10			12										1									
20		0	777	99	7	99	7	1	1	10	10			20										1									
21		0	777	99	8	99	8	1	1	10	10			21										1									
24		0	777	99	9	99	9	1	1	10	10			24										1									
25		0	777	99	10	99	10	1	1	10	10			25										1									
30		0	777	99	11	99	11	1	1	10	10			30										1									
31		0	777	99	12	99	12	1	1	10	10			31										1									
32		0	777	99	13	99	13	1	1	10	10			32										1									
33		0	777	99	14	99	14	1	1	10	10			33										1									
40		0	777	99	15	99	15	1	1	10	10			40										1									
41		0	777	99	16	99	16	1	1	10	10			41										1									
42		0	777	99	17	99	17	1	1	10	10			42										1									
43		0	777	99	18	99	18	1	1	10	10			43										1									
50		0	777	99	19	99	19	1	1	10	10			50										1									
51		0	777	99	20	99	20	1	1	10	10			51										1									
52		0	777	99	21	99	21	1	1	10	10			52										1									
53		0	777	99	22	99	22	1	1	10	10			53										1									
60		0	777	99	23	99	23	1	1	10	10			60										1									
61		0	777	99	24	99	24	1	1	10	10			61										1									
62		0	777	99	25	99	25	1	1	10	10			62										1									
63		0	777	99	26	99	26	1	1	10	10			63										1									
70		0	777	99	27	99	27	1	1	10	10			70										1									
71		0	777	99	28	99	28	1	1	10	10			71										1									
72		0	777	99	29	99	29	1	1	10	10			72										1									
80		0	777	99	30	99	30	1	1	10	10			80										1									
81		0	777	99	31	99	31	1	1	10	10			81										1									
82		0	777	99	32	99	32	1	1	10	10			82										1									
83		0	777	99	33	99	33	1	1	10	10			83										1									
90		0	777	99	34	99	34	1	1	10	10			90										1									
91		0	777	99	35	99	35	1	1	10	10			91										1									
92		0	777	99	36	99	36	1	1	10	10			92										1									
93		0	777	99	37	99	37	1	1	10	10			93										1									
611		0	777	1	1	1	1	1	1	1	1			611										1									
