1	0	0	0	1	5	9	13	17	21	25	60	70	80	90	100	0	180	450	930	1510	3860	1510	930	450	180	0	0	0	0	0	10000
2	0	0	0	2	6	10	14	18	22	26	60	70	80	90	100	0	180	450	930	1510	3860	1510	930	450	180	0	0	0	0	0	10000
3	0	0	0	3	7	11	15	19	23	27	60	70	80	90	100	0	180	450	930	1510	3860	1510	930	450	180	0	0	0	0	0	10000
4	0	0	0	4	8	12	16	20	24	28	60	70	80	90	100	0	180	450	930	1510	3860	1510	930	450	180	0	0	0	0	0	10000
5	0	0	1	5	9	13	17	21	25	29	60	70	80	90	100	0	180	450	930	1510	3860	1510	930	450	180	0	0	0	0	0	10000
6	0	0	2	6	10	14	18	22	26	30	60	70	80	90	100	0	180	450	930	1510	3860	1510	930	450	180	0	0	0	0	0	10000
7	0	0	3	7	11	15	19	23	27	31	60	70	80	90	100	0	180	450	930	1510	3860	1510	930	450	180	0	0	0	0	0	10000
8	0	0	4	8	12	16	20	24	28	32	60	70	80	90	100	0	180	450	930	1510	3860	1510	930	450	180	0	0	0	0	0	10000
9	0	1	5	9	13	17	21	25	29	33	60	70	80	90	100	0	180	450	930	1510	3860	1510	930	450	180	0	0	0	0	0	10000
10	0	2	6	10	14	18	22	26	30	34	60	70	80	90	100	0	180	450	930	1510	3860	1510	930	450	180	0	0	0	0	0	10000
11	0	3	7	11	15	19	23	27	31	35	60	70	80	90	100	0	180	450	930	1510	3860	1510	930	450	180	0	0	0	0	0	10000
12	0	4	8	12	16	20	24	28	32	36	60	70	80	90	100	0	180	450	930	1510	3860	1510	930	450	180	0	0	0	0	0	10000
13	0	5	9	13	17	21	25	29	33	37	60	70	80	90	100	0	180	450	930	1510	3860	1510	930	450	180	0	0	0	0	0	10000
14	0	6	10	14	18	22	26	30	34	38	60	70	80	90	100	0	180	450	930	1510	3860	1510	930	450	180	0	0	0	0	0	10000
15	0	7	11	15	19	23	27	31	35	39	60	70	80	90	100	0	180	450	930	1510	3860	1510	930	450	180	0	0	0	0	0	10000
16	0	8	12	16	20	24	28	32	36	40	60	70	80	90	100	0	180	450	930	1510	3860	1510	930	450	180	0	0	0	0	0	10000
17	0	9	13	17	21	25	29	33	37	41	60	70	80	90	100	0	180	450	930	1510	3860	1510	930	450	180	0	0	0	0	0	10000
18	0	10	14	18	22	26	30	34	38	42	60	70	80	90	100	0	180	450	930	1510	3860	1510	930	450	180	0	0	0	0	0	10000
19	0	11	15	19	23	27	31	35	39	43	60	70	80	90	100	0	180	450	930	1510	3860	1510	930	450	180	0	0	0	0	0	10000
20	0	12	16	20	24	28	32	36	40	44	60	70	80	90	100	0	180	450	930	1510	3860	1510	930	450	180	0	0	0	0	0	10000
