游民		1	1								2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2					
见习剑士		11	1	0	0						4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4					
剑士		12	1	5000	1000						6	6	6	4	6	6	6	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6					
王宫剑士		13	1	10000	5000						8	8	8	4	6	6	6	8	8	6	8	6	4	8	6	8	8	8	8	8	8	8	8					
剑术师范		14	1	20000	10000						10	10	10	4	6	6	6	10	10	6	10	6	4	10	6	10	10	10	10	10	10	10	10					
剑术大师		15	1	1	1						10	10	10	4	6	6	6	10	10	6	10	6	4	10	6	10	10	10	10	10	10	10	10					
武士		16	1	1	1						10	10	10	4	6	6	6	10	10	6	10	6	4	10	6	10	10	10	10	10	10	10	10					
剑圣		17	1	1	1						10	10	10	4	6	6	6	10	10	6	10	6	4	10	6	10	10	10	10	10	10	10	10					
见习战斧斗士		21	1	0	0						4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4					
战斧斗士		22	1	5000	1000						6	6	6	4	6	6	6	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6					
王宫战斧斗士		23	1	10000	5000						8	8	8	4	6	6	6	8	8	6	8	6	4	8	6	8	8	8	8	8	8	8	8					
战斧师范		24	1	20000	10000						10	10	10	4	6	6	6	10	10	6	10	6	4	10	6	10	10	10	10	10	10	10	10					
战斧大师		25	1	1	1						10	10	10	4	6	6	6	10	10	6	10	6	4	10	6	10	10	10	10	10	10	10	10					
狂战士		26	1	1	1						10	10	10	4	6	6	6	10	10	6	10	6	4	10	6	10	10	10	10	10	10	10	10					
破坏狂		27	1	1	1						10	10	10	4	6	6	6	10	10	6	10	6	4	10	6	10	10	10	10	10	10	10	10					
见习骑士		31	1	0	0						4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4					
骑士		32	1	5000	1000						6	6	6	4	6	6	6	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6					
王宫骑士		33	1	10000	5000						8	8	8	4	6	6	6	8	8	6	8	6	4	8	6	8	8	8	8	8	8	8	8					
近卫骑士		34	1	20000	10000						10	10	10	4	6	6	6	10	10	6	10	6	4	10	6	10	10	10	10	10	10	10	10					
枪术大师		35	1	1	1						10	10	10	4	6	6	6	10	10	6	10	6	4	10	6	10	10	10	10	10	10	10	10					
黑骑士		36	1	1	1						10	10	10	4	6	6	6	10	10	6	10	6	4	10	6	10	10	10	10	10	10	10	10					
圣骑士		37	1	1	1						10	10	10	4	6	6	6	10	10	6	10	6	4	10	6	10	10	10	10	10	10	10	10					
见习弓箭手		41	1	0	0						4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4					
弓箭手		42	1	5000	1000						4	4	4	6	6	6	6	4	4	6	4	6	6	4	6	6	6	6	6	6	6	6	6					
王宫弓箭手		43	1	10000	5000						4	4	4	6	8	8	8	4	4	8	4	8	6	4	8	8	8	8	8	8	8	8	8					
弓术师范		44	1	20000	10000						4	4	4	6	10	10	10	4	4	10	4	10	6	4	10	10	10	10	10	10	10	10	10					
弓术大师		45	1	1	1						4	4	4	6	10	10	10	4	4	10	4	10	6	4	10	10	10	10	10	10	10	10	10					
神射手		46	1	1	1						4	4	4	6	10	10	10	4	4	10	4	10	6	4	10	10	10	10	10	10	10	10	10					
森林守护者		47	1	1	1						4	4	4	6	10	10	10	4	4	10	4	10	6	4	10	10	10	10	10	10	10	10	10					
见习士兵		51	1	0	0						4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4					
士兵		52	1	5000	1000						6	6	6	4	6	6	6	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6					
王宫士兵		53	1	10000	5000						8	8	8	4	6	6	6	8	8	6	8	6	4	8	6	8	8	8	8	8	8	8	8					
士兵长		54	1	20000	10000						10	10	10	4	6	6	6	10	10	6	10	6	4	10	6	10	10	10	10	10	10	10	10					
重战士		55	1	1	1						10	10	10	4	6	6	6	10	10	6	10	6	4	10	6	10	10	10	10	10	10	10	10					
装甲兵		56	1	1	1						10	10	10	4	6	6	6	10	10	6	10	6	4	10	6	10	10	10	10	10	10	10	10					
蹂躏兵		57	1	1	1						10	10	10	4	6	6	6	10	10	6	10	6	4	10	6	10	10	10	10	10	10	10	10					
见习传教士		61	1	0	0						4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4					
传教士		62	1	5000	1000						6	6	6	6	4	4	4	6	6	4	6	4	6	6	4	6	6	6	6	6	6	6	6					
牧师		63	1	10000	5000						6	6	6	8	4	4	4	6	6	4	6	4	8	6	4	8	8	8	8	8	8	8	8					
主教		64	1	20000	10000						6	6	6	10	4	4	4	6	6	4	6	4	10	6	4	10	10	10	10	10	10	10	10					
大主教		65	1	1	1						6	6	6	10	4	4	4	6	6	4	6	4	10	6	4	10	10	10	10	10	10	10	10					
李贝留斯的仆人		66	1	1	1						6	6	6	10	4	4	4	6	6	4	6	4	10	6	4	10	10	10	10	10	10	10	10					
阿尔杰斯的使徒		67	1	1	1						6	6	6	10	4	4	4	6	6	4	6	4	10	6	4	10	10	10	10	10	10	10	10					
见习魔术师		71	1	0	0						4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4					
魔术师		72	1	5000	1000						6	6	6	6	4	4	4	6	6	4	6	4	6	6	4	6	6	6	6	6	6	6	6	4	4	4	4	
