长剑	0	8	200	60	9611	10000				4	20			
阔剑	1	3	200	60	9611	9612	10000			4	3	20		
突刺剑	2	16	200	60	9611	10000	9612			5	20	4		
火舌剑	3	18	200	60	9611	9612	10001	10002		7	5	20	20	
面包剑	4	22	200	60	9611	9612	9613			7	6	5		
双手剑	5	28	200	60	9612	10001	9613	10003		10	20	8	20	
双刃长剑	6	37	200	60	9611	9612	10002	9614		15	5	20	5	
锁刃剑	7	39	200	60	9612	10002	9614	9615		10	20	7	5	
格斗剑	8	42	200	60	9612	9613	9614	10003	9615	10	3	6	20	7
长锷剑	9	48	200	60	9611	9612	9613	9615	10005	10	8	7	8	20
猪牙剑	10	56	200	60	9613	9614	10003	10004	9616	10	10	20	20	8
双刃阔剑	11	57	200	60	9614	9615	10004	9616	10006	6	10	20	10	20
巨剑	12	67	200	60	18449	9614	10005	9616	9617	1	15	20	10	7
长军刀	13	63	200	60	10000	9613	9615	9617	10006	20	10	13	11	20
护身短剑	14	70	200	60	18450	9611	9616	9617	10007	1	15	16	13	20
细柄短剑	15	77	200	60	10001	10005	9617	9618	10007	20	20	10	13	20
细刃重剑	16	88	200	60	9612	9616	9617	9618	10008	10	10	10	10	20
刚硬巨剑	17	87	200	60	9614	10004	9618	9619	18449	10	20	10	10	2
青龙刀	18	94	200	60	9615	10007	9618	9619	10009	10	20	10	10	20
曲刀	19	97	200	60	18449	18450	9618	10008	9620	2	2	10	20	10
长军刀+	20	73	200	60	10007	9630	9618	9617	18509	20	20	18	18	20
水龙之剑	21	200	200	60	18851	18449	18450	9617		1	2	2	20	
太极剑	23	202	200	120	301	18449	18450	9640		1	4	4	20	
黑作太刀	24	600002	200	60	9611	9612	9700	9615	10005	10	10	7	7	20
#比纳西尔之剑	25	660063	200	60	9638	9619	18449	10008	10009	5	4	6	40	40
#刚毅	26	660064	200	60	9638	9619	9618	18450	10009	4	5	5	6	40
未知作用合成宝石LV1	40	9390	200	0	9350	9360	9370	9380		1	1	1	1	
未知作用合成宝石LV2	41	9391	200	0	9351	9361	9371	9381		1	1	1	1	
未知作用合成宝石LV3	42	9392	200	0	9352	9362	9372	9382		1	1	1	1	
未知作用合成宝石LV4	43	9393	200	0	9353	9363	9373	9383		1	1	1	1	
未知作用合成宝石LV5	44	9394	200	0	9354	9364	9374	9384		1	1	1	1	
