1	0	1850	0	1542	23	9	5	6	3	1				
2	0	1860	0	1540	16	7	4	8	6	2				
3	0	1870	0	1541	13	9	7	9	9	3				
1800	1	1800	0	1000	185	17	0	7	20	5				
1801	1	1801	0	1000	180	19	10	19	20	5				
1802	1	1802	0	1000	202	61	10	17	20	5				
1803	1	1803	0	1000	93	120	0	9	20	5				
1804	1	1804	0	1000	115	75	0	9	20	5				
1805	1	1805	0	1000	114	19	9	19	20	5				
1806	1	1806	0	1000	114	99	1	9	20	5				
1807	1	1807	0	1000	121	20	9	18	20	5				
1808	1	1808	0	1000	122	189	1	10	20	5				
1809	1	1809	0	1000	131	20	10	19	20	5				
2800	1	2800	0	2400	36	74	10	18	20	5				
2801	1	2801	0	2000	52	64	2	10	20	5				
2802	1	2802	0	2300	60	93	0	9	20	5				
2803	1	2803	0	2300	18	105	10	18	20	5				
2804	1	2804	0	2300	60	79	2	10	20	5				
2805	1	2805	0	2100	25	37	10	16	20	5				
2806	1	2806	0	2100	46	72	2	10	20	5				
2807	1	2807	0	2100	41	68	10	17	20	5				
2808	1	2808	0	2100	30	77	2	9	20	5				
3801	1	3801	0	3200	56	88	12	16	20	5				
3802	1	3802	0	3200	66	89	3	9	20	5				
3803	1	3803	0	3200	39	62	10	16	20	5				
3804	1	3804	0	3000	73	78	3	10	20	5				
3805	1	3805	0	3000	85	72	12	16	20	5				
3806	1	3806	0	3000	36	66	10	14	20	5				
3807	1	3807	0	3200	36	65	2	11	20	5				
4800	1	4800	0	4000	52	64	1	9	20	5				
4802	1	4802	0	4000	63	31	4	9	20	5				
4803	1	4803	0	4200	24	58	10	17	20	5				
4804	1	4804	0	4000	50	69	2	9	20	5				
4805	1	4805	0	4200	65	45	10	15	20	5				
4806	1	4806	0	4300	55	48	2	9	20	5				
4807	1	4807	0	4300	40	35	4	10	20	5				
4808	1	4808	0	4200	54	41	10	15	20	5				
4809	1	4809	0	4300	33	55	10	15	20	5				
4810	1	4810	0	4000	61	56	2	9	20	5				
4811	1	4811	0	4300	29	34	10	16	20	5				
