游民	0	1	1	1	1	1	1	1	10000	10000	10000	10000	100	50	10	0
程序员	480	481	482	483	484	485	486	487	10000	10000	10000	10000	100	50	10	600

剑士	10	11	12	13	14	15	16	17	10000	10000	10000	10000	100	50	10	600
战斧斗士	20	21	22	23	24	25	26	27	10000	10000	10000	10000	100	50	10	600
骑士	30	31	32	33	34	35	36	37	10000	10000	10000	10000	100	50	10	600
士兵	50	51	52	53	54	55	56	57	10000	10000	10000	10000	100	50	10	600
医师	440	441	442	443	444	445	446	447	10000	10000	10000	10000	100	50	10	600
护士	430	431	432	433	434	435	436	437	10000	10000	10000	10000	100	50	10	600
武器修理师	370	371	372	373	374	375	376	377	10000	10000	10000	10000	10000	10000	10000	600
防具修理师	380	381	382	383	384	385	386	387	10000	10000	10000	10000	100	50	10	600
矿工	470	471	472	473	474	475	476	477	10000	10000	10000	10000	100	50	10	600
造头盔师	270	271	272	273	274	275	276	277	10000	10000	10000	10000	100	50	10	600
造铠师	290	291	292	293	294	294	295	297	10000	10000	10000	10000	100	50	10	600
造靴师	320	321	322	323	324	325	326	327	10000	10000	10000	10000	100	50	10	600
造盾师	340	341	342	343	344	345	346	347	10000	10000	10000	10000	100	50	10	600
造剑师	200	201	202	203	204	205	206	207	10000	10000	10000	10000	10000	10000	10000	600
造斧师	210	211	212	213	214	215	216	217	10000	10000	10000	10000	100	50	10	600
造枪师	220	221	222	223	224	225	226	227	10000	10000	10000	10000	100	50	10	600

弓箭手	40	41	42	43	44	45	46	47	10000	10000	10000	10000	100	50	10	600
格斗士	140	141	142	143	144	145	146	147	10000	10000	10000	10000	100	50	10	600
忍者	150	151	152	153	154	155	156	157	10000	10000	10000	10000	100	50	10	600
#舞者	160	161	162	163	164	165	166	167	10000	10000	10000	10000	100	50	10	600
盗贼	120	121	122	123	124	125	126	127	10000	10000	10000	10000	100	50	10	600
封印师	90	91	92	93	94	95	96	97	10000	10000	10000	10000	100	50	10	600
饲养师	100	101	102	103	104	105	106	107	10000	10000	10000	10000	100	50	10	600
驯兽师	110	111	112	113	114	115	116	117	10000	10000	10000	10000	100	50	10	600
鉴定师	390	391	392	393	394	395	396	397	10000	10000	10000	10000	100	50	10	600
猎人	460	461	462	463	464	465	466	467	10000	10000	10000	10000	100	50	10	600
造帽子师	280	281	282	283	284	285	286	287	10000	10000	10000	10000	100	50	10	600
造衣服师	300	301	302	303	304	305	306	307	10000	10000	10000	10000	100	50	10	600
造鞋子师	330	331	332	333	334	335	336	337	10000	10000	10000	10000	100	50	10	600
造弓师	230	231	232	233	234	235	236	237	10000	10000	10000	10000	100	50	10	600
造回力师	250	251	252	253	254	255	256	257	10000	10000	10000	10000	100	50	10	600
造小刀师	260	261	262	263	264	265	266	267	10000	10000	10000	10000	100	50	10	600

魔术师	70	71	72	73	74	75	76	77	10000	10000	10000	10000	100	50	10	600
传教士	60	61	62	63	64	65	66	67	10000	10000	10000	10000	100	50	10	600
咒术师	80	81	82	83	84	85	86	87	10000	10000	10000	10000	100	50	10	600
巫师	130	131	132	133	134	135	136	137	10000	10000	10000	10000	100	50	10	600
侦探	410	411	412	413	414	415	416	417	10000	10000	10000	10000	100	50	10	600
仙人	420	421	422	423	424	425	426	427	10000	10000	10000	10000	100	50	10	600
伐木工	450	451	452	453	454	455	456	457	10000	10000	10000	10000	100	50	10	600
造袍师	310	311	312	313	314	315	316	317	10000	10000	10000	10000	100	50	10	600
造杖师	240	241	242	243	244	245	246	247	10000	10000	10000	10000	100	50	10	600
厨师	350	351	352	353	354	355	356	357	10000	10000	10000	10000	100	50	10	600
药剂师	360	361	362	363	364	365	366	367	10000	10000	10000	10000	100	50	10	600
