#动画ID	最低速度	最高速度	表示骑上这个造型的宠物后，移动速度的变化。－－moonboy批注
100902	90	110
101000	90	105
101001	90	105
101002	90	105
101003	90	105
101004	90	105
101005	90	105
101010	95	105
101011	95	105
101012	100	110
101013	95	105
101014	100	110
101020	70	105
101021	75	105
101022	75	105
101023	75	105
101024	75	105
101025	50	105
101030	110	121
101031	110	121
101032	90	114
101033	90	114
101100	90	110
101101	90	110
101102	90	110
101103	90	110
101104	90	110
101110	90	110
101111	90	110
101112	90	110
101113	90	110
101114	90	110
101120	100	110
101121	104	114
101122	104	114
101123	104	114
101200	90	110
101201	90	110
101202	90	110
101203	90	110
101204	90	110
101205	90	110
101210	90	110
101211	90	110
101212	90	110
101213	90	110
101214	90	110
101240	90	110
101241	90	110
101242	90	110
101243	90	110
101244	90	110
101245	90	110
101250	90	110
101251	90	110
101252	90	110
101253	90	110
101254	90	110
101300	90	105
101301	90	105
101302	90	105
101303	90	105
101310	90	110
101311	90	110
101312	90	110
101313	90	110
101314	90	110
101320	90	110
101321	90	110
101322	90	110
101323	90	110
101324	90	110
101330	105	116
101331	105	116
101332	105	116
101333	105	116
101400	100	110
101401	110	121
101402	110	121
101403	105	116
101404	105	116
101405	105	116
101406	180	200
101410	90	110
101411	90	110
101412	90	110
101413	90	110
101420	90	110
101421	90	110
101422	90	110
101423	90	110
101430	90	110
101431	100	110
101432	90	110
101433	90	110
101434	90	110
101500	90	105
101501	105	116
101502	95	105
101503	100	110
101510	100	110
101511	100	110
101512	100	110
101513	100	110
101520	102	112
101521	102	112
101522	102	112
101523	102	112
101524	105	116
101530	90	110
101531	90	110
101532	90	110
101533	90	110
101600	90	110
101601	90	110
101602	90	110
101603	90	110
101610	105	116
101611	105	116
101612	105	116
101613	105	116
101614	105	116
101615	105	116
101620	110	121
101621	110	121
101622	110	121
101623	110	121
101630	90	120
101631	90	120
101632	90	120
101633	90	120
101710	90	110
101711	90	110
101712	90	110
101713	90	110
101714	90	110
101720	80	105
101721	80	105
101722	80	105
101723	80	105
101800	85	105
101801	85	105
101802	85	105
101803	85	105
101810	90	110
101812	90	110
101820	90	110
101821	90	110
101822	90	110
101823	90	110
101824	90	110
101830	90	110
101831	90	110
101832	90	110
101833	90	110
101834	90	110
107000	90	115
107001	90	120
107002	90	122
107003	90	125
107010	70	105
107011	70	105
107012	70	105
107013	70	105
107110	90	105
107111	90	105
107112	90	105
107113	90	105
107200	90	110
107201	90	110
107202	90	110
107203	90	110
107210	90	110
107211	90	110
107212	90	110
107213	90	110
107300	95	105
107301	95	105
107302	95	105
107303	95	105
107400	80	105
107401	82	105
107402	84	105
107403	86	105
107500	90	115
107501	90	115
107502	90	115
107503	90	115
107610	90	105
107611	90	105
107612	90	105
107613	90	105
107710	70	105
107711	70	105
107712	70	105
107713	70	105
107800	90	110
107801	90	110
107802	90	110
107803	90	110
110300	100	110
110301	100	110
110302	100	110
110303	100	110
110304	110	121
110305	110	121
110306	110	121
110307	110	121
110308	110	121
110309	110	121
110310	110	121
110311	110	121
110312	110	121
110317	90	110
110318	90	110
110319	90	110
110320	90	110
110321	100	110
110322	100	110
110323	100	110
110324	100	110
110325	110	121
110342	90	110
110343	90	110
110344	90	110
110345	90	110
110346	90	110
110347	90	110
110348	90	110
110349	90	110
110388	90	105
110389	90	105
110390	90	105
110391	90	105
110392	100	110
110393	100	110
110394	100	110
110395	100	110
110509	98	108
110510	98	108
110511	98	108
110512	180	180
110513	98	108
110514	98	108
110520	98	108
110521	98	108
110522	98	108
110523	98	108
110524	98	108
110525	98	108
110526	100	110
110527	100	110
110528	100	110
110529	100	110
110530	100	110
110531	100	110
110532	110	121
110533	110	121
110534	110	121
110535	110	121
110536	110	121
110537	110	121
110538	100	110
110539	100	110
110540	100	110
110541	100	110
110542	100	110
110543	100	110
110544	100	110
110545	100	110
110546	100	110
110547	100	110
110548	100	110
110549	100	110
110550	95	105
110551	95	105
110552	95	105
110553	95	105
110554	95	105
110555	95	105
110556	95	105
110557	95	105
110558	95	105
110559	95	105
110560	95	105
110561	95	105
110568	80	105
110569	80	105
110570	80	105
110571	80	105
110572	80	105
110573	80	105
110574	70	105
110575	75	105
110576	80	105
110577	85	105
110578	90	105
110579	95	105
110580	100	110
110581	105	116
110582	110	121
110583	115	125
110584	120	125
110585	125	125
110592	100	110
110593	100	110
110594	100	110
110595	100	110
110596	100	110
110597	100	110
110598	100	110
110770	110	121
110771	110	121
110772	110	121
110773	110	121
110774	110	121
110775	110	121
110776	100	110
110777	100	110
110778	100	110
110779	100	110
110780	100	110
110781	100	110
