SimpleTrade	地板	0	990002	0	1	1	0	777	92	3	92	3	92	3	92	3	1	60000	0	0	0	1	0	
Jobsmaster	魔术师	0	40070	0	1	1	0	777	47	6	47	6	47	6	47	6	1	60000	6	14506	0	1	0	70|0|5000|-1|18107|1|65190|65194|65195|65196|65197|65198|-1|18107|1|65199|65200|65201|65202|65203|65204|65205|65206|65207|65208|65209|65210|65211|65212|65213|65214|65215|65216|65217|65218|93|92|91|90|65219|66371|
StandEnemy	蜥蜴战士	0	770927	0	1	1	0	555	16	2	16	2	16	2	16	2	1	1000	4	101700	0	1	0	2|||0|||||0|70|
Billboard	西医院	0	8408	0	1	1	0	1000	79	83	79	83	79	83	79	83	1	1000	6	10416	0	1	0	
Billboard	房屋中介所	0	8421	0	1	1	0	1000	121	131	121	131	121	131	121	131	1	1000	6	10416	0	1	0	
Billboard	安其摩酒吧	0	8420	0	1	1	0	1000	98	134	98	134	98	134	98	134	1	1000	6	10416	0	1	0	
Billboard	哈巴鲁东边洞窟	0	8441	0	1	1	0	100	671	221	671	221	671	221	671	221	1	60000	6	10413	0	1	0	
Billboard	莎莲娜海底洞窟	0	8440	0	1	1	0	100	202	166	202	166	202	166	202	166	1	60000	6	10413	0	1	0	
Event	小庙的看守者	0	6195	0	1	1	0	13018	19	19	19	19	19	19	19	19	1	60000	1	101303	0	1	0	EV_ijk_6195.txt
SimpleTrade	缴敲 飘雷伊靛	0	990018	0	1	1	0	777	92	15	92	15	92	15	92	15	1	60000	0	100000	0	1	0	812|814|10036|10037|10035|1|1|0,0,0,0|
Itemshop2	小庙的看守者	0	1013	0	1	1	0	1159	6	5	6	5	6	5	6	5	1	60000	4	14023	0	1	0	150|100|2|11116|11117|10165|10166|10167|10168|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|
Jobsmaster	士兵师傅	0	40050	0	1	1	0	777	47	4	47	4	47	4	47	4	1	60000	6	14157	0	1	0	50|0|5000|-1|18105|1|65130|65134|65135|65136|65137|65138|-1|18105|1|65139|65140|65141|65142|65143|65144|65145|65146|65147|65148|65149|65150|65151|65152|65153|65154|65155|65156|65157|65158|93|92|91|90|65159|66351|
Jobsmaster	资深僧侣	0	40060	0	1	1	0	777	47	5	47	5	47	5	47	5	1	60000	6	14502	0	1	0	60|0|5000|-1|18106|1|65160|65164|65165|65166|65167|65168|-1|18106|1|65169|65170|65171|65172|65173|65174|65175|65176|65177|65178|65179|65180|65181|65182|65183|65184|65185|65186|65187|65188|93|92|91|90|65189|66361|
