2	75	2	0	-1	5	-1	0	-1	-1	0
2	75	2	0	-1	5	-1	0	-1	-1	0
2	75	2	0	-1	5	-1	0	0	-1	0
1	75	2	-1	5	-1	0	0	0	0	0
3	75	2	-1	0	-1	5	0	0	0	0
3	75	2	-1	0	-1	5	0	0	0	0
3	75	2	-1	0	-1	5	0	0	0	0
0	75	2	3	-1	0	-1	0	0	0	0
2	75	2	-1	-1	5	-1	0	0	0	0
1	75	2	-1	5	0	-1	0	0	2	0
0	75	2	3	-1	0	-1	0	0	0	0
1	75	2	-1	5	-1	0	0	0	0	0
1	75	2	-1	5	-1	0	0	0	0	0
0	75	2	2	-1	0	-1	0	0	0	0
3	75	2	-1	-1	0	5	0	0	0	0
1	75	1	-1	5	-1	0	0	0	0	0
3	75	1	1	0	-1	3	0	2	0	0
-1	75	1	-1	-1	-1	-1	2	1	0	0
-1	75	1	-1	-1	-1	-1	2	0	0	0
-1	75	1	-1	-1	-1	-1	1	0	0	0
-1	75	1	-1	-1	-1	-1	1	0	0	0
-1	75	1	-1	-1	-1	-1	1	0	0	0
-1	75	1	-1	-1	-1	-1	0	0	0	1
-1	75	1	-1	-1	-1	-1	0	0	2	0
-1	75	1	-1	-1	-1	-1	0	0	0	0
-1	75	1	-1	-1	-1	-1	0	0	0	0
-1	75	1	1	1	1	1	0	0	0	0
-1	75	1	1	1	1	1	5	0	0	0
-1	75	1	1	1	1	1	0	0	0	0
-1	75	1	1	1	1	1	-1	0	0	0
3	75	1	0	0	0	1	-1	0	0	0
0	75	1	1	0	-1	-1	-1	0	0	0
2	75	1	0	-1	5	-1	-1	-1	0	0
1	75	1	-1	5	-1	0	-1	5	0	0
0	75	1	0	0	0	0	0	1	0	0
-1	75	1	-1	-1	-1	-1	0	0	0	0
0	75	1	0	0	0	0	0	0	2	0
0	75	1	0	0	0	0	0	0	2	0
3	75	1	1	0	-1	-1	5	0	-1	0
2	75	1	0	-1	5	-1	0	0	0	0
-1	75	1	-1	-1	-1	-1	0	0	0	0
-1	75	1	-1	-1	-1	-1	0	0	0	0
-1	75	2	-1	-1	-1	-1	0	0	0	0
-1	75	1	-1	-1	-1	-1	0	0	0	0
-1	75	1	-1	-1	-1	-1	0	0	0	0
-1	75	1	-1	-1	-1	-1	0	0	0	0
-1	75	1	-1	-1	-1	-1	0	0	0	0
-1	75	1	-1	-1	-1	-1	-5	0	0	0
-1	75	1	-1	-1	-1	-1	-5	0	0	0
-1	75	1	-1	-1	-1	-1	-5	0	0	0
-1	75	1	-1	-1	-1	-1	-5	0	0	0
2	75	1	0	-1	5	-1	-5	0	0	0
-1	75	1	0	0	0	0	0	0	0	1
-1	75	0	0	0	0	0	0	0	0	2
-1	75	0	0	0	0	0	0	0	0	2
