冒险之星的碎片(武器)	0	0	-20	-20	0	10	10	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
破损很严重的冒险之星(武器)	1	0	-24	-24	0	12	12	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
破破的冒险之星(武器)	2	0	-28	-28	0	14	14	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
有点破损的冒险之星(武器)	3	0	-32	-32	0	16	16	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
冒险之星(武器)	4	0	-36	-36	0	18	18	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
还不错的冒险之星(武器)	5	0	-40	-40	0	20	20	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
优良的冒险之星(武器)	6	0	-44	-44	0	22	22	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
非常优良的冒险之星(武器)	7	0	-48	-48	0	24	24	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
接近完美的冒险之星(武器)	8	0	-52	-52	0	26	26	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
完美结晶体的冒险之星(武器)	9	0	-56	-56	0	28	28	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
石榴石的碎片(武器)	10	0	9	9	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
破损很严重的石榴石(武器)	11	0	13	13	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
破破的石榴石(武器)	12	0	17	17	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
有点破损的石榴石(武器)	13	0	21	21	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
石榴石(武器)	14	0	25	25	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
还不错的石榴石(武器)	15	0	29	29	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
优良的石榴石(武器)	16	0	33	33	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
非常优良的石榴石(武器)	17	0	37	37	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
接近完美的石榴石(武器)	18	0	41	41	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
完美结晶体的石榴石(武器)	19	0	45	45	0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0			0		
