0	0	1	2
1	1	1	2
2	3	1	2
3	4	1	2
4	5	1	2
5	6	1	2
6	7	1	2
7	8	1	2
8	9	1	2
9	10	1	2
10	11	1	2
11	12	1	2
12	13	1	2
13	14	1	2
14	15	1	2
15	16	1	2
16	17	1	2
17	18	1	2
18	19	1	2
19	20	1	2
20	21	1	2
21	22	1	2
22	23	1	2
23	24	1	2
24	25	1	2
25	26	1	2
26	27	1	2
27	28	1	2
28	29	1	2
29	30	1	2
30	31	1	2
31	32	1	2
32	33	1	2
33	34	1	2
34	35	1	2
35	36	1	2
36	37	1	2
37	38	1	2
38	39	1	2
39	40	1	2
40	41	1	2
41	42	1	2
42	43	1	2
43	44	1	2
44	45	1	2
45	46	1	2
46	47	1	2
47	48	1	2
48	49	1	2
49	50	1	2
50	51	1	2
51	52	1	2
52	53	1	2
53	54	1	2
54	55	1	2
55	56	1	2
56	57	1	2
57	58	1	2
58	59	1	2
59	60	1	2
60	61	1	2
61	62	1	2
62	63	1	2
63	64	1	2
64	65	1	2
65	66	1	2
66	67	1	2
67	68	1	2
68	69	1	2
69	70	1	2
70	71	1	2
71	72	1	2
72	73	1	2
73	74	1	2
74	75	1	2
75	76	1	2
76	77	1	2
77	78	1	2
78	79	1	2
79	80	1	2
80	81	1	2
81	82	1	2
82	83	1	2
83	84	1	2
84	85	1	2
85	86	1	2
86	87	1	2
87	88	1	2
88	89	1	2
89	93	1	2
90	94	1	2
91	95	1	2
92	96	1	2
93	97	1	2
94	98	1	2
95	99	1	2
96	100	1	2
97	101	1	2
98	102	1	2
99	103	1	2
100	104	1	2
101	105	1	2
102	106	1	2
103	107	1	2
104	150	1	2
105	160	1	2
106	170	1	2
107	200	1	2
108	201	1	2
109	202	1	2
110	203	1	2
111	204	1	2
112	205	1	2
113	206	1	2
114	207	1	2
115	208	1	2
116	209	1	2
117	210	1	2
118	211	1	2
119	212	1	2
120	213	1	2
121	214	1	2
122	215	1	2
123	216	1	2
124	217	1	2
125	218	1	2
126	219	1	2
127	220	1	2
128	221	1	2
129	222	1	2
130	223	1	2
131	224	1	2
132	225	1	2
133	226	1	2
134	227	1	2
135	250	1	2
136	251	1	2
137	252	1	2
138	253	1	2
139	254	1	2
140	255	1	2
141	256	1	2
142	257	1	2
143	258	1	2
144	259	1	2
145	260	1	2
146	261	1	2
147	262	1	2
148	263	1	2
149	1001	1	2
150	1002	1	2
151	1003	1	2
152	1004	1	2
153	1005	1	2
154	1006	1	2
155	1007	1	2
156	1008	1	2
157	1009	1	2
158	1010	1	2
159	1011	1	2
160	0	11	4
161	1	11	4
162	3	11	4
163	4	11	3
164	5	11	4
165	6	11	4
