连击	0	130000	1	6	1	100	100	143	2	1		1000				0		
诸刃	1	130001	1	6	1	100	100	255	2	1		1000				0		
乾坤一掷	3	130003	1	6	1	100	100	255	2	1		1000				0		
气功蛋	4	130004	1	6	1	5000	100	159	2	1		1000				0		
崩击	5	130005	1	6	1	100	100	143	2	1		1000				0	140	200
战栗袭心	6	130006	1	6	1	100	100	143	2	1		1000				0	140	200
护卫	7	130007	1	6	2	100	100	255	2	1		1000				0	140	200
圣盾	8	130008	1	6	2	100	100	255	2	1		1000				0		
阳炎	9	130009	1	6	2	100	100	255	2	1		1000				0	150	200
攻击魔法防御	10	130010	1	6	2	100	100	255	2	1		1000				1		
反击	11	130011	1	6	2	100	100	143	2	1		1000				0	140	200
明净止水	12	130012	1	6	1	10000	100	255	2	1		1000				0	140	200
昏睡抵抗	13	130013	0	6	4	10000	100	255	2	1		1000				0	150	200
中毒抵抗	14	130014	0	6	4	10000	100	255	2	1		1000				0	150	200
石化抵抗	15	130015	0	6	4	10000	100	255	2	1		1000				0	150	200
酒醉抵抗	16	130016	0	6	4	10000	100	255	2	1		1000				0	150	200
混乱抵抗	17	130017	0	6	4	10000	100	255	2	1		1000				0	150	200
遗忘抵抗	18	130018	0	6	4	10000	100	255	2	1		1000				0	150	200
陨石魔法	19	130019	3	6	1	100	100	255	2	1		1000				0	70	200
冰冻魔法	20	130020	3	6	1	100	100	255	2	1		1000				0	70	200
火陷魔法	21	130021	3	6	1	100	100	255	2	1		1000				0	70	200
风刃魔法	22	130022	3	6	1	100	100	255	2	1		1000				0	70	200
强力陨石魔法	23	130023	3	6	1	5000	100	255	2	1		1000				0	70	200
强力冰冷魔法	24	130024	3	6	1	5000	100	255	2	1		1000				0	70	200
强力火陷魔法	25	130025	3	6	1	5000	100	255	2	1		1000				0	70	200
强力风刃魔法	26	130026	3	6	1	5000	100	255	2	1		1000				0	70	200
超强陨石魔法	27	130027	3	6	1	10000	100	255	2	1		1000				0	70	200
超强冰冻魔法	28	130028	3	6	1	10000	100	255	2	1		1000				0	70	200
超强火焰魔法	29	130029	3	6	1	10000	100	255	2	1		1000				0	70	200
超强风刃魔法	30	130030	3	6	1	10000	100	255	2	1		1000				0	70	200
吸血魔法	31	130031	3	6	1	10000	100	255	2	1		1000				0	70	200
中毒魔法	32	130032	3	6	1	5000	100	255	2	1		1000				0	80	200
昏睡魔法	33	130033	3	6	1	5000	100	255	2	1		1000				0	80	200
石化魔法	34	130034	3	6	1	5000	100	255	2	1		1000				0	80	200
酒醉魔法	35	130035	3	6	1	5000	100	255	2	1		1000				0	80	200
混乱魔法	36	130036	3	6	1	5000	100	255	2	1		1000				0	80	200
遗忘魔法	37	130037	3	6	1	5000	100	255	2	1		1000				0	80	200
强力中毒魔法	38	130038	3	6	1	10000	100	255	2	1		1000				0	80	200
强力昏睡魔法	39	130039	3	6	1	10000	100	255	2	1		1000				0	80	200
强力石化魔法	40	130040	3	6	1	10000	100	255	2	1		1000				0	80	200
强力酒醉魔法	41	130041	3	6	1	10000	100	255	2	1		1000				0	80	200
强力混乱魔法	42	130042	3	6	1	10000	100	255	2	1		1000				0	80	200
强力遗忘魔法	43	130043	3	6	1	10000	100	255	2	1		1000				0	80	200
超强中毒魔法	44	130044	3	6	1	20000	100	255	2	1		1000				0	80	200
超强昏睡魔法	45	130045	3	6	1	20000	100	255	2	1		1000				0	80	200
超强石化魔法	46	130046	3	6	1	20000	100	255	2	1		1000				0	80	200
超强酒醉魔法	47	130047	3	6	1	20000	100	255	2	1		1000				0	80	200
超强混乱魔法	48	130048	3	6	1	20000	100	255	2	1		1000				0	80	200
超强遗忘魔法	49	130049	3	6	1	20000	100	255	2	1		1000				0	80	200
大地祈祷	50	130050	3	6	1	10000	100	255	3	1		1000				0	80	200
海洋祈祷	51	130051	3	6	1	10000	100	255	3	1		1000				0	80	200
火焰祈祷	52	130052	3	6	1	10000	100	255	3	1		1000				0	80	200
群云祈祷	53	130053	3	6	1	10000	100	255	3	1		1000				0	80	200
属性反转	54	130054	3	6	1	10000	100	255	3	1		1000				0	80	200
攻击反弹	55	130055	3	6	1	10000	100	255	4	1		1000				0	130	200
魔法反弹	56	130056	3	6	1	10000	100	255	4	1		1000				0	130	200
攻击吸收	57	130057	3	6	1	10000	100	255	4	1		1000				0	130	200
魔法吸收	58	130058	3	6	1	10000	100	255	4	1		1000				0	130	200
攻击无效	59	130059	3	6	1	10000	100	255	4	1		1000				0	130	200
魔法无效	60	130060	3	6	1	10000	100	255	4	1		1000				0	130	200
补血魔法	61	130061	3	6	4	100	100	255	4	1		1000				0	60	200
强力补血魔法	62	130062	3	6	4	100	100	255	4	1		1000				0	60	200
超强补血魔法	63	130063	3	6	4	50000	100	255	4	1		1000				0	60	200
恢复魔法	64	130064	3	6	4	100	10000	255	4	1		1000				0	130	200
强力恢复魔法	65	130065	3	6	4	20000	100	255	4	1		1000				0	130	200
超强恢复魔法	66	130066	3	6	4	50000	100	255	4	1		1000				0	130	200
洁净魔法	67	130067	3	6	3	10000	100	255	3	1		1000				0	130	200
气绝回复	68	130068	3	6	1	10000	100	255	3	1		1000				0	60	200
精灵的盟约	69	130069	0	6	5	100	100	255	2	1		1000				0	90	200
宠物强化	70	130070	0	6	1	100	100	255	2	1		1000				0	100	200
调教	71	130071	0	6	1	100	100	255	2	1		1000				0	110	200
偷窃	72	130072	1	6	1	100	100	255	3	1		1000				0	120	200
攻击	73		1	6	1	100	100	255	2	1		1000				0		
防御	74		1	6	1	100	100	255	2	1		1000				0		
毒性攻击	75		1	6	1	100	100	143	2	1		1000				0		
昏睡攻击	76		1	6	1	100	100	143	2	1		1000				0		
石化攻击	77		1	6	1	100	100	143	2	1		1000				0		
酒醉攻击	78		1	6	1	100	100	143	2	1		1000				0		
混乱攻击	79		1	6	1	100	100	143	2	1		1000				0		
遗忘攻击	80		1	6	1	100	100	143	2	1		1000				0		
吸血攻击	81		1	6	1	100	100	143	2	1		1000				0		
自爆攻击	82		1	6	1	100	100	255	2	1		1000				0		
奉献魔法	83		1	6	1	100	100	255	2	1		1000				0		
吸血魔法	84		3	6	1	100	100	143	2	1		1000				0		
爆破攻击	85		1	6	1	100	100	143	2	1		1000				0		
即死魔法	86		3	6	1	100000	100	255	2	1		1000				0		
金钱攻击	87		1	6	1	100	100	143	2	1		1000				0		
魔法封印	88		3	6	1	100000	100	255	2	1		1000				0		
宠物邮件	89		2	6	1	5000	100		2	1	3	1000				0		
召唤魔法	93		1	6	1	100	100	255	2	1		1000				0		
混乱攻击	94	130094	1	0	1	100	100	128	2	1		1000				0	140	200
乱射	95		1	0	1	5000	100	16	2	1		1000				0	40	200
暗杀	96		0	0	4	100000	100	143	2	1		1000				0	150	200
大地之怒	97		1	0	1	100000	100	255	2	1		1000				0		
跳舞	98		1	0	1	100	100	255	6	1		1000				0	160	200
捷舞	99	109900	1	0	1	100	100	255	4	1		1000				0	160	200
霹雳舞蹈	100	110000	1	0	1	100	100	255	4	1		1000				0	160	200
粘巴达舞	101	110100	1	0	1	100	100	255	4	1		1000				0	160	200
气魄舞	102	110000	1	0	1	100	100	255	4	1		1000				0	160	200
啪啦啪啦舞	103	110300	1	0	1	100	100	255	4	1		1000				0	160	200
房子舞	104	110400	1	0	1	100	100	255	4	1		1000				0	160	200
旋风斩	105		1	0	1	100	100	1	1	1		1000				0	10	200
影分身	106		1	0	1	100	100	207	1	1		1000				0	150	200
侦察	107		1	0	1	100	100	255	1	1		1000				0	410	200
逃跑	150		1	6	1	100	100	255	2	1		1000				0		
定点移动	160		1	6	1	100	100	255	2	1		1000				0		
什么都不做	170		1	6	1	100	100	255	2	1		1000				0		
铸剑	200		2	6	5	100	100	255	2	1	0	1000	2	4	-2	0	200	200
造斧	201		2	0	5	100	100	255	2	1	0	1000	2	4	-2	0	210	200
造枪	202		2	0	5	100	100	255	2	1	0	1000	2	4	-2	0	220	200
造弓	203		2	0	5	100	100	255	2	1	0	1000	2	4	-2	0	230	200
造杖	204		2	0	5	100	100	255	2	1	0	1000	2	4	-2	0	240	200
投掷武器制作	205		2	0	5	100	100	255	2	1	0	1000	2	4	-2	0	250	200
