»¢ÈË	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	1	1	1	1	1	10	1	-1	-1	0	1	14801	18068	18005	18310	18313						1	6	14	1	1						16900	14420	14801	18310	18313	1	200	200	60	140	0	0	0	0	0
Ã¨Ñý	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	2	2	1	1	1	10	2	-1	-1	0	1	14802	18026	18047	18311	18312						1	14	6	1	1						16901	14420	14802	18311	18312	1	200	200	140	60	0	0	0	0	0
ÂÞÉ²	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	3	3	1	1	1	10	3	-1	-1	0	1	14803	18047	18026	18311	18312						1	6	14	1	1						16902	14420	14803	18311	18312	1	200	200	60	140	0	0	0	0	0
Ã¨ÈË	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	4	4	1	1	1	10	4	-1	-1	0	1	14804	18005	18068	18310	18313						1	10	10	1	1						16903	14420	14804	18310	18313	1	200	200	100	100	0	0	0	0	0
¶ñÄ§Ã¨	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	5	5	1	1	1	10	5	-1	-1	0	1	14805	18005	18068	18310	18313						1	14	6	1	1						16904	14420	14805	18310	18313	1	200	200	140	60	0	0	0	0	0
Ñýºü	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	6	6	1	1	1	10	6	-1	-1	0	1	14806	18026	18047	18311	18312						1	10	10	1	1						16905	14423	14806	18311	18312	1	200	200	100	100	0	0	0	0	0
Ñ¨ÐÜ	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	11	11	1	1	1	10	11	-1	-1	0	1	14807	18005	18026	18310	18311						1	16	4	1	1						16906	14420	14807	18310	18311	1	200	200	160	40	0	0	0	0	0
³àÐÜ	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	12	12	1	1	1	10	12	-1	-1	0	1	14808	18047	18068	18312	18313						1	16	4	1	1						16907	14420	14808	18312	18313	1	200	200	160	40	0	0	0	0	0
±±¼«ÐÜ	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	13	13	1	1	1	10	13	-1	-1	0	1	14809	18026	18005	18311	18310						1	4	16	1	1						16908	14420	14809	18311	18310	1	200	200	40	160	0	0	0	0	0
³àÄ¿ºÚÐÜ	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	14	14	1	1	1	10	14	-1	-1	0	1	14810	18068	18047	18313	18312						1	4	16	1	1						16909	14420	14810	18313	18312	1	200	200	40	160	0	0	0	0	0
Ã¨ÐÜ	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	15	15	1	1	1	1	15	-1	-1	0	1	14811	18005	18026	18310	18311						1	10	10	1	1						16910	14420	14811	18310	18311	1	200	200	100	100	0	0	0	0	0
´óµØÊó	at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;	21	21	1	1	1	1	21	-1	-1	0	1	14812	18005	18310								1	20	2								16911	14420	14812	18310		1	200	200	200		0	0	0	0	0
